21522001,Abdominal pain,abdominal pain,C2096293 C0042571,C1135208 C0042571 C1564535,C0042571 
271681002,Stomach ache,stomach pain,C0593906,C0593906,C0593906 
371081002,Arthritis of knee,arthritic knees,C0593906,C0593906,C0593906 
271782001,Drowsy,excessive drowsiness,C0002871,C0002871,C0002871 
3877011000036101,Lipitor,lipitor,C0151602,C0151602,C0151602 
84445001,Joint stiffness,joint stiffness,,C1834451 C0151786 C0030552,
247323005,Tightness in throat,tightness in throat with occasional choking problem,C0593906,C0593906,C0593906 
193462001,Insomnia,insomnia,C0592264 C0699958,C0592264 C0699958,C0592264 C0699958 
426206001,Constant pain,constant pain,,C0917801 C1963237 C1950154,
3877011000036101,Lipitor,lipitor,C0013238 C0314719,C0013238 C0314719,C0013238 C0314719 
57676002,Arthralgia,mild joint pain,C0851353 C0229664 C0042232,C0566967 C2979982,
70076002,Rhinitis,rhinitis,C0025265 C0701811,C0025265 C0701811,C0025265 C0701811 
162352007,Ringing in ear,ears ringing,C0947620 C0015450 C0016129 C0947619 C0013604,C0522040,
13791008,Asthenia,so weak,C0231528 C1963177,C0231528,C0231528 
45326000,Shoulder pain,shoulder pain,C0593906,C0593906,C0593906 
14760008,Constipation,constipitation,C2081614 C0033213,C1636063 C1963167 C0233794,
698065002,Acid reflux,acid reflux,C0021885 C0018670 C0152336 C0042571,C1135208 C0042571 C1564535,C0042571 
239725005,Rupture of anterior cruciate ligament,torn ACL,C0593906,C0593906,C0593906 
81680005,Neck pain,sore neck,C0003862 C1963066,C0003862,C0003862 
161891005,Backache,back ache,C0593906,C0593906,C0593906 
3877011000036101,Lipitor,Lipitor,C2168111 C0024031,C0024031,C0024031 
63102001,Visual disturbance,eye sight changes,C1963166 C0024902,C0948665 C0024902 C1657970,C0024902 
56265001,Heart disease,coronary problems,C0012833 C0042571 C1963093,C0012833 C0042571 C1963093 C4032495,C0012833 C0042571 C1963093 
3877011000036101,Lipitor,Lipitor,C0022742,C0581347 C0272839 C0159971 C0238218,
88092000,Muscle atrophy,loss of muscle mass in arms,C0231528 C1963177,C0024031,
53215011000036102,Advil,Advil,,C0456814,
387603000,Impairment of balance,BALANCE PROBLEMS,C2096315 C0018681,C2096315 C0018681,C2096315 C0018681 
422587007,Nausea,nausea,C0016504,C0016512 C2016948,
13791008,Asthenia,weakness,C0591465 C0183652,C0039866 C3203359,
3877011000036101,Lipitor,Lipitor,C0221512 C1963242,C0235309 C0221512,C0221512 
419723007,Mentally dull,in a FOG,C0025320 C0567312 C0993589 C0206158,C0567312,C0567312 
431416001,Menstrual cramp,mentstrual cramps,C0700763,C0700763,C0700763 
48694002,Anxiety,anxiety,C0593906,C0593906,C0593906 
267052005,Flatulence/wind,Uncontrollable gas,C0038358 C1963119,C0038358 C0559140,C0038358 
10601006,Pain in lower limb,leg pain,C2364135 C0234215,C2364135 C0234215,C2364135 C0234215 
76948002,Severe pain,pain has been so intense,C1170736,C1142985,
35489007,Depression,depression,C0429108 C0812393 C0035143 C0429068 C4049644 C0011570 C1999266 C0011581 C0520887 C1579931 C0344315,C0812393 C0035143 C4049644 C0011570 C1999266 C0011581 C0520887 C1579931 C0344315 C2121458,C0812393 C0035143 C4049644 C0011570 C1999266 C0011581 C0520887 C1579931 C0344315 
30989003,Knee pain,KNEE PAIN,C0231246 C2911647 C0043094,C2911647 C0043094,C2911647 C0043094 
361137007,Irregular heart beat,irregullar heartbeat,C0056077,C0056077,C0056077 
419145002,Nightmares,terrible nightmares,C1140621 C0234238,C0839480 C0023222,
44077006,Numbness,Numbness,C0593906,C0593906,C0593906 
3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
24693007,Fibromyalgia,fibromyalgia,C0037004 C0030193,C0037011 C0423670,
24700007,Multiple sclerosis,MS,C2168111 C0024031,C0024031,C0024031 
203095000,Spasm of back muscles,spasms in my back,C0332575 C0015672,C4050243 C0015672,C0015672 
124054003,Increased cholesterol esters,high cholesterol,C0231528 C1963177,C0231528,C0231528 
25064002,Headache,headaches,C0677061 C1963071 C0004604,C0004604,C0004604 
13791008,Asthenia,extreme fatigue,C0011991 C2129214,C0011991 C2129214,C0011991 C2129214 
3877011000036101,Lipitor,Lipitor,C0231246 C2911647 C0043094,C2911647 C0043094,C2911647 C0043094 
39621005,Gallbladder disorder,gall bladder disease,C0593906,C0593906,C0593906 
3877011000036101,Lipitor,Lipitor,C0033774,C0033774,C0033774 
22253000,Pain,ache,C1098080,C1098080,C1098080 
3848011000036104,Pravachol,Pravachol,C0003862 C1963066,C0003862,C0003862 
22253000,Pain,pain,,C0856120 C2708306 C0026769 C0455388,
45326000,Shoulder pain,shoulder pain,C0030193,C1882272 C2598155 C0030193,C0030193 
124042003,Increased lipid,elevated lipids,C0010054 C1956346 C0010068,C0010054 C3532639,C0010054 
62507009,Pins and needles,tingling,C0017574 C0021368 C0007971 C0029877 C0014236 C0854217 C0027530 C2137077,C0263854,
162059005,Upset stomach,upset stomache,C3714552,C0004093,
422587007,Nausea,Nausea,,C0591224,
249913002,Knee stiff,stiffness at left knee,C0231528,C0231528,C0231528 
68962001,Myalgia,sore muscles,C0332575 C0015672,C0558486,
3877011000036101,Lipitor,Lipitor,C1963198 C0030305,C1963198 C0030305,C1963198 C0030305 
22253000,Pain,pain,C0542476,C0542476,C0542476 
57676002,Arthralgia,Joint pain,C0231246 C2911647 C0043094,C2911647 C0043094,C2911647 C0043094 
128139000,Inflammatory disorder,inflamation,C0392703,C0040822 C1963252,
26079004,Tremor,shaky,C0021368,C1290884 C3807248 C0029877 C3259275 C3860213 C0399561 C0029400 C1285337,
8943002,Weight gain,weight gain,C0003862 C1963066,C0003862,C0003862 
55533009,Forgetful,forgetfulnes and confussion,C0030193,C1882272 C2598155 C0030193,C0030193 
75694006,Pancreatitis,pancreatitis,C0593906,C0593906,C0593906 
267031002,Tiredness symptom,tiredness,C0234233,C0231528,
68962001,Myalgia,muscle ache,C0230432 C0427008 C1279572,C0240129,
3934011000036103,Capoten,capiten,C0027497 C1963179,C0027497 C1963179,C0027497 C1963179 
13791008,Asthenia,weakness,C0038351 C3887804,C0235309,
387801000,Cervical arthritis,inflammation in my neck,C2242996,C0423572,
53741008,Coronary arteriosclerosis,coronary artery disease,C0523744 C0856882,C0851043 C0852983,
22253000,Pain,pains so bad,C0037011 C0423670,C0037011 C0423670,C0037011 C0423670 
24700007,Multiple sclerosis,MS,C0030193,C1882272 C2598155 C0030193,C0030193 
57676002,Arthralgia,joint pain,C0700763,C0700763,C0700763 
4031011000036106,Crestor,Crestor,C0234238,C1882272 C2598155 C0030193,
418363000,Itching of skin,pruritus,C0593906,C0593906,C0593906 
3877011000036101,Lipitor,Lipitor,C0005686 C2186525 C0558976 C0016977,C0005686 C0876968 C0016977,C0005686 C0016977 
8943002,Weight gain,weight gain,C0593906,C0593906,C0593906 
398032003,Loose stool,loose stools,C0015672,C0004093,
161891005,Backache,back pain,C2096315 C0018681,C2096315 C0018681,C2096315 C0018681 
68962001,Myalgia,muscle pain,C0020443 C1522133,C3536712 C1522133 C3276464 C0020445 C0595929 C1291155 C0020443 C0549399 C1291156 C0595930,C1522133 C0020443 
84229001,Fatigue,extreme tiredness,C0037763,C0238738,
279039007,Low back pain,lower back pain,,C0856120 C2708306 C0026769 C0455388,
45326000,Shoulder pain,pain in shoulders,C0016053,C0016053,C0016053 
3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
3877011000036101,Lipitor,Lipitor,C0028643 C0020580,C0028643 C0020580,C0028643 C0020580 
10601006,Pain in lower limb,legs ache so bad,C3887605 C0028084,C3887605 C0028084,C3887605 C0028084 
77424011000036100,ubidecarenone,coq10,C0003811 C0237314,C0003811 C0237314,C0003811 C0237314 
8943002,Weight gain,weight gain,C0231749,C0231749,C0231749 
35489007,Depression,depression,C0429108 C0812393 C0035143 C0429068 C4049644 C0011570 C1999266 C0011581 C0520887 C1579931 C0344315,C0812393 C0035143 C4049644 C0011570 C1999266 C0011581 C0520887 C1579931 C0344315 C2121458,C0812393 C0035143 C4049644 C0011570 C1999266 C0011581 C0520887 C1579931 C0344315 
21930011000036101,ezetimibe,Zetia,C0030193,C0278140,
247347003,Discomfort,discomfort,C0839480 C0023222,C0839480 C0023222,C0839480 C0023222 
397825006,Gastric ulcer,STOMACH ULCERS,C0596601,C0016204,
3877011000036101,Lipitor,Lipitor,C0860603 C0003467,C0860603 C4050613 C0003467 C0003469 C1963064,C0860603 C0003467 
3848011000036104,Pravachol,Pravachol,C0026821,C0013390,
289903006,Menopause present,menopause,,C1621860,
271681002,Stomach ache,stomach pain,C0593906,C0593906,C0593906 
209777000,Rupture tendon thigh,Torn ham string,C3714552,C0004093,
47933007,Foot pain,bottoms of feet hurt,C0027497,C0027497 C1963179,C0027497 
25064002,Headache,headaches,C0575090,C0241981,
277521002,Loss of motivation,loss the will to do anything,C0593507,C0593507,C0593507 
279039007,Low back pain,muscle pain in the lower back,C0446516 C0240417,C0541794 C0026846,
239720000,Tear of meniscus of knee,tore my knee,C0593906,C0593906,C0593906 
404640003,Dizziness,intense dizziness,C0018787 C2081614 C0033213,C0018799,
53430007,Mastalgia,breast pain,C0015392 C0005911,C0547030 C0348571 C0029844,
279039007,Low back pain,lower back pain,C0593906,C0593906,C0593906 
3877011000036101,Lipitor,Lipitor,C0004604,C0004604,C0004604 
57676002,Arthralgia,joint pain,C0234233 C0027530 C2137077,C0007859 C1963180,
3877011000036101,Lipitor,Lipitor,C0043246,C4047606 C4047607 C0409316 C0409312,
399153001,Vertigo,spinning head,C0017168,C0017168,C0017168 
386807006,Memory impairment,memeory problems,,C0009806 C1963087 C0949135,
3877011000036101,Lipitor,lipitor,C0037011 C0423670,C0037011 C0423670,C0037011 C0423670 
68962001,Myalgia,muscle pain,C3714552,C0004093,
102565005,Oedema of finger,edema of fingers and face,C0040264,C0040264,C0040264 
247592009,Poor short-term memory,short term memory loss,C0035455,C0035455,C0035455 
289530006,Vaginal bleeding,Bloody vagina,C0003862 C1963066,C0003862,C0003862 
162290004,Dry eyes,dry eyes,C0593906,C0593906,C0593906 
193462001,Insomnia,sleepless nites,C0030193 C1720529,C1960160,
28551000168108,Voltaren,Voltaren,C0917801 C1963237 C1950154,C0917801 C1963237 C1950154,C0917801 C1963237 C1950154 
3877011000036101,Lipitor,lipitor,C2051649 C2081614 C0008301 C0236071 C0011119 C0033213,C0236071,C0236071 
26544005,Muscle weakness,Weak muscles,C0240129 C2109023 C0162298 C0239957,C0162298 C0427009,C0162298 
278528006,Facial swelling,swelling face,C0593906,C0593906,C0593906 
271737000,Anaemia,anemia,C0013144 C2830004,C0013144,C0013144 
3877011000036101,Lipitor,Lipitor,C0022742 C0003864 C0721578,C3697583 C0240111,
3877011000036101,Lipitor,Lipitor,C0221512 C1963242,C0235309 C0221512,C0221512 
3877011000036101,Lipitor,Lipitor,C0010957,C0559036 C0343140,
81680005,Neck pain,neck pain,C0016504 C0030193 C0230463,C0016512 C2016948,
55300003,Muscle cramp,cramps,C0030193,C4035820 C4035819 C0278139,
30989003,Knee pain,aching in knees,C0018563 C2242996,C0423572,
95891005,Influenza-like illness,felt like I was coming down with flu,C0986527 C1368457 C0986525 C0778782 C1562126 C0986526 C1368726 C1368172 C0986528 C3217109 C0020261 C0008273 C1382794 C0986522,C0020261 C0008273 C0986528 C0621906,C0986528 C0020261 C0008273 
419723007,Mentally dull,Foggy,C0593906,C0593906,C0593906 
55300003,Muscle cramp,Cramping,C0426579 C1963063 C0003620 C0003123,C1971624 C0426579 C0003123,C0426579 C0003123 
449917004,Cramp in lower limb,leg cramps,C0392674,C0392674,C0392674 
3877011000036101,Lipitor,lipitor,C1140621 C2242996,C0948992 C0587058,
197321007,Steatosis of liver,fatty liver,,C0011991 C0474498,
21522001,Abdominal pain,pain in my stomach,C0010957,C0026848,
29857009,Chest pain,chest pains,C0446516 C2242996,C0423572,
16269008,Neuralgia,Nerve pain,C0019360,C0857356 C0019360 C0019366,C0019360 
22253000,Pain,pain,C2024893 C0015672,C4050243 C0015672,C0015672 
74323005,Pain in elbow,elbows sore,C1504494,C0423572,
84229001,Fatigue,extreme tiredness,C0030193 C0027530 C0231528 C2137077,C0231528,C0231528 
3877011000036101,Lipitor,Lipitor,C0013595,C0013595,C0013595 
3877011000036101,Lipitor,lipitor,C0429108 C0812393 C0035143 C0429068 C4049644 C0011570 C1999266 C0011581 C0520887 C1579931 C0344315,C0812393 C0035143 C4049644 C0011570 C1999266 C0011581 C0520887 C1579931 C0344315 C2121458,C0812393 C0035143 C4049644 C0011570 C1999266 C0011581 C0520887 C1579931 C0344315 
271737000,Anaemia,anemia,C0043262 C0030193,C0221785,
22298006,Myocardial infarction,massive heart attack,C2096315 C0018681,C2096315 C0018681,C2096315 C0018681 
84229001,Fatigue,fatigue,C0021400,C0021400,C0021400 
84445001,Joint stiffness,stiff joints,C0917801 C1963237 C1950154,C0917801 C1963237 C1950154,C0917801 C1963237 C1950154 
422587007,Nausea,queasiness,C0005768 C0229664,C0014591,
3877011000036101,Lipitor,Lipitor,C0588006,C0588006,C0588006 
84229001,Fatigue,fatigue,C0231530,C0231530,C0231530 
25064002,Headache,headache,C1306232 C0221232,C0042109,
35489007,Depression,depression,C0019559 C1963082 C0267028,C0030193,
301026000,Loss of confidence,loss of self-confidence,C0007859 C1963180,C0007859 C1963180,C0007859 C1963180 
55533009,Forgetful,forgetfulness,C0006434 C0085624,C0241057 C0578504 C0241413 C0234655 C0085624,C0085624 
3877011000036101,Lipitor,Lipitor,C0016204 C1962956,C0016204,C0016204 
87486003,Aphasia,language and learning ability loss including spoken and written aphasia and inability to read,C0231528,C0231528,C0231528 
84229001,Fatigue,needed to rest every few minutes,C0593906,C0593906,C0593906 
13791008,Asthenia,weakness,C0221512 C1963242,C0235309 C0221512,C0221512 
162076009,Excessive upper gastrointestinal gas,gastric bleed,C0020649 C0497247,C0497247 C0232107,C0497247 
161891005,Backache,Back pain,C0863085,C0149756,
68962001,Myalgia,inflamatory muscle pain,C0372564 C0566967 C2979982,C0566967 C2979982,C0566967 C2979982 
48167000,Amnesia,amnesia,C0593507,C0593507,C0593507 
300954003,Pain in calf,pain in calf muscle,C2368355 C2346415,C0311394,
698065002,Acid reflux,acid reflux,C0231749,C0231749,C0231749 
55300003,Muscle cramp,Irregular cramping,C0593906,C0593906,C0593906 
271587009,Stiffness,body stiffed during sleep,C0018670 C0152336 C0040357,C0281856,
54020011000036108,Voltaren Rapid 25 mg tablet: sugar-coated,voltaren rapid 25,C0230461 C0149756 C1279999,C0149756,C0149756 
68962001,Myalgia,muscle pain,C1288948 C0040822 C0230370,C0040822 C1963252,C0040822 
399153001,Vertigo,vertigo,C2199213 C0235299 C0000737 C0238552 C0277969 C0694551 C0423651 C0423646 C0238551 C0581869,C0499476 C0423653 C0581869 C1875603 C0000737,C0000737 C0581869 
399153001,Vertigo,vertigo,C0024031,C0024031,C0024031 
68962001,Myalgia,muscle pain,C0751295 C0002622,C3824794 C0002622,C0002622 
54020011000036108,Voltaren Rapid 25 mg tablet: sugar-coated,voltaren rapid 25,C1291077,C1291077,C1291077 
271587009,Stiffness,body stiffed during sleep,C0000970 C0373527,C0000970 C0373527,C0000970 C0373527 
55300003,Muscle cramp,Irregular cramping,C0038351 C0286036,C0426623 C0426624,
698065002,Acid reflux,acid reflux,C0593906,C0593906,C0593906 
300954003,Pain in calf,pain in calf muscle,C0424589,C0015672,
48167000,Amnesia,amnesia,C0151315 C0427043,C0151315,C0151315 
68962001,Myalgia,inflamatory muscle pain,C0012238 C0013395 C0426634,C0012238 C0013395,C0012238 C0013395 
161891005,Backache,Back pain,C0009806 C1963087 C0949135,C0009806 C1963087 C0949135,C0009806 C1963087 C0949135 
162076009,Excessive upper gastrointestinal gas,gastric bleed,C0593906,C0593906,C0593906 
13791008,Asthenia,weakness,C0025265 C2081614 C0701811 C0033213,C0025265 C0701811,C0025265 C0701811 
84229001,Fatigue,needed to rest every few minutes,C1547225 C1513302 C0231528 C1963177,C0231528,C0231528 
87486003,Aphasia,language and learning ability loss including spoken and written aphasia and inability to read,C0026821 C0025344,C0013390,
3877011000036101,Lipitor,Lipitor,C0085639,C0085639 C0000921,C0085639 
55533009,Forgetful,forgetfulness,C0030567,C4069171 C0030567 C3248637,C0030567 
301026000,Loss of confidence,loss of self-confidence,C0042963 C1963281,C0042963 C1963281,C0042963 C1963281 
35489007,Depression,depression,C0344315 C0520887,C0812393 C0035143 C4049644 C0011570 C1999266 C0011581 C0520887 C1579931 C0344315 C2121458,C0520887 C0344315 
25064002,Headache,headache,C0018494,C0002170,
84229001,Fatigue,fatigue,C0231528,C0231528,C0231528 
3877011000036101,Lipitor,Lipitor,C0332575 C0015672,C0558486,
422587007,Nausea,queasiness,C0581394,C0581394,C0581394 
84445001,Joint stiffness,stiff joints,C0593906,C0593906,C0593906 
84229001,Fatigue,fatigue,C0593906,C0593906,C0593906 
22298006,Myocardial infarction,massive heart attack,C0593906,C0593906,C0593906 
271737000,Anaemia,anemia,C0019112 C1963134,C0019112 C1963134,C0019112 C1963134 
3877011000036101,Lipitor,lipitor,C0592264 C0699958,C0592264 C0699958,C0592264 C0699958 
3877011000036101,Lipitor,Lipitor,C0016053,C0016053,C0016053 
84229001,Fatigue,extreme tiredness,C2168111 C0024031,C0278140,
74323005,Pain in elbow,elbows sore,C0557875,C0557875,C0557875 
22253000,Pain,pain,C0018563 C0013595,C0239816,
16269008,Neuralgia,Nerve pain,C0015644 C0016504 C0231530,C0231530,C0231530 
29857009,Chest pain,chest pains,C0017562 C2137027 C0040408 C0028643 C0020580 C2012701,C0521485,
21522001,Abdominal pain,pain in my stomach,C0344232,C0344232,C0344232 
197321007,Steatosis of liver,fatty liver,C0009806 C1963087,C0009806 C1963087 C0949135,C0009806 C1963087 
3877011000036101,Lipitor,lipitor,,C0028643 C0020580,
449917004,Cramp in lower limb,leg cramps,C0231528 C1963177,C0231528,C0231528 
55300003,Muscle cramp,Cramping,C0231528 C1963177,C0231528,C0231528 
419723007,Mentally dull,Foggy,C0015230,C0015230,C0015230 
95891005,Influenza-like illness,felt like I was coming down with flu,C1834451 C2673994 C0014653 C0150841 C0239831 C1397014 C0151786 C0030552 C2174421 C1168241 C0587246 C0586738 C0240479 C0161479,C1834451 C0151786 C0030552,C1834451 C0151786 C0030552 
30989003,Knee pain,aching in knees,C0721599,C0721599,C0721599 
55300003,Muscle cramp,cramps,C0037011,C0037011 C0423670,C0037011 
81680005,Neck pain,neck pain,C0593906,C0593906,C0593906 
3877011000036101,Lipitor,Lipitor,C0019080,C0019080,C0019080 
3877011000036101,Lipitor,Lipitor,C0013987,C1621860,
3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
271737000,Anaemia,anemia,C0221512 C1963242,C0278140,
278528006,Facial swelling,swelling face,C0086769,C0086769,C0086769 
26544005,Muscle weakness,Weak muscles,C0003862 C1963066,C0003862,C0003862 
3877011000036101,Lipitor,lipitor,C0002170,C0002170,C0002170 
28551000168108,Voltaren,Voltaren,C0002170,C0002170,C0002170 
193462001,Insomnia,sleepless nites,,C0496955 C0178298 C0444099 C1546781 C0228505,
162290004,Dry eyes,dry eyes,C0023218,C3266179 C3266180,
289530006,Vaginal bleeding,Bloody vagina,C1140621 C0038999 C0311394,C0311394,C0311394 
247592009,Poor short-term memory,short term memory loss,C0839480 C0023222 C1720529 C0700845,C1960160,
102565005,Oedema of finger,edema of fingers and face,C0839480 C0023222,C0839480 C0023222,C0839480 C0023222 
68962001,Myalgia,muscle pain,C3665438,C2364111,
3877011000036101,Lipitor,lipitor,C0013238 C0314719,C0013238 C0314719,C0013238 C0314719 
386807006,Memory impairment,memeory problems,C0234238,C0231528,
399153001,Vertigo,spinning head,C0593906,C0593906,C0593906 
3877011000036101,Lipitor,Lipitor,C1299581 C0034770,C1636063 C1963167 C0233794,
57676002,Arthralgia,joint pain,C0560836 C0560881,C0560836 C0560881,C0560836 C0560881 
3877011000036101,Lipitor,Lipitor,C0210355,C0210355,C0210355 
279039007,Low back pain,lower back pain,C0008301 C2051649 C0011119,C0008301,C0008301 
53430007,Mastalgia,breast pain,C0037004 C0006434 C0085624,C0241057 C0578504 C0241413 C0234655 C0085624,C0085624 
404640003,Dizziness,intense dizziness,C2718625,C0012091,
239720000,Tear of meniscus of knee,tore my knee,C0593906,C0593906,C0593906 
279039007,Low back pain,muscle pain in the lower back,C1299581,C0560046,
277521002,Loss of motivation,loss the will to do anything,C0006444,C0006444,C0006444 
25064002,Headache,headaches,C0591454,C0591454 C2984091,C0591454 
47933007,Foot pain,bottoms of feet hurt,,C0311394,
209777000,Rupture tendon thigh,Torn ham string,C0022359,C0033774,
271681002,Stomach ache,stomach pain,C3842554 C1299586,C0311394,
289903006,Menopause present,menopause,C0593906,C0593906,C0593906 
3848011000036104,Pravachol,Pravachol,C1457887 C0018609 C0030567 C0012634,C2939151 C0242422,
3877011000036101,Lipitor,Lipitor,,C0056077,
397825006,Gastric ulcer,STOMACH ULCERS,C0593906,C0593906,C0593906 
247347003,Discomfort,discomfort,C0033774,C0033774,C0033774 
21930011000036101,ezetimibe,Zetia,C0030193,C1882272 C2598155 C0030193,C0030193 
35489007,Depression,depression,C3714552,C0004093,
8943002,Weight gain,weight gain,C0564820 C2129384,C0564820 C2129384,C0564820 C2129384 
77424011000036100,ubidecarenone,coq10,C0593906,C0593906,C0593906 
10601006,Pain in lower limb,legs ache so bad,,C0442874 C0042075,
3877011000036101,Lipitor,Lipitor,C0409974 C0024131,C0409974 C0024141 C0866588,C0409974 
3877011000036101,Lipitor,Lipitor,C0043094 C1262477,C0043094 C0557899,C0043094 
45326000,Shoulder pain,pain in shoulders,C0588008,C0588008,C0588008 
279039007,Low back pain,lower back pain,C3714552,C0004093,
84229001,Fatigue,extreme tiredness,C0593906,C0593906,C0593906 
68962001,Myalgia,muscle pain,C0026821,C0026821,C0026821 
161891005,Backache,back pain,C0030193,C1882272 C2598155 C0030193,C0030193 
398032003,Loose stool,loose stools,C0039503,C0039503,C0039503 
8943002,Weight gain,weight gain,C0593906,C0593906,C0593906 
3877011000036101,Lipitor,Lipitor,C1098080,C1098080,C1098080 
418363000,Itching of skin,pruritus,C0441766 C0520863 C0749225 C2751808,C0520863 C0749225 C2751808,C0520863 C0749225 C2751808 
4031011000036106,Crestor,Crestor,C0221060 C0015469,C0376175 C0015469,C0015469 
57676002,Arthralgia,joint pain,C0016157,C0016157,C0016157 
24700007,Multiple sclerosis,MS,C0593906,C0593906,C0593906 
22253000,Pain,pains so bad,C0056077,C0056077,C0056077 
53741008,Coronary arteriosclerosis,coronary artery disease,C0593906,C0593906,C0593906 
387801000,Cervical arthritis,inflammation in my neck,C0023618,C2981158,
13791008,Asthenia,weakness,C0239266 C4050466 C1547227 C4050465 C1547231 C0264097 C1561581,C0278140,
3934011000036103,Capoten,capiten,C3714552,C0004093,
68962001,Myalgia,muscle ache,C0161479,C0161479,C0161479 
267031002,Tiredness symptom,tiredness,,C0311394,
75694006,Pancreatitis,pancreatitis,,C0056077,
55533009,Forgetful,forgetfulnes and confussion,C0593906,C0593906,C0593906 
8943002,Weight gain,weight gain,C0037004 C0030193,C0278140,
26079004,Tremor,shaky,,C0232115 C0232116,
128139000,Inflammatory disorder,inflamation,,C0221423,
57676002,Arthralgia,Joint pain,C1552832 C0019552,C0030193,
22253000,Pain,pain,C0593906,C0593906,C0593906 
3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
68962001,Myalgia,sore muscles,C0593906,C0593906,C0593906 
249913002,Knee stiff,stiffness at left knee,C0023380 C1720529,C0023380,C0023380 
422587007,Nausea,Nausea,C0678181,C0678181,C0678181 
162059005,Upset stomach,upset stomache,C0018670 C0152336,C2096315 C0018681,
62507009,Pins and needles,tingling,C0423673,C0423673,C0423673 
124042003,Increased lipid,elevated lipids,,C0036177,
45326000,Shoulder pain,shoulder pain,,C0039601 C0027368 C1295654 C0523912 C0202227,
22253000,Pain,pain,C3714552,C0004093,
